id,sucursal_id,saldo_total_sucursal,caja_teorica_sucursal,total_atm,total_ats,total_tesoro,total_cajas_ventanilla,total_buzon_depositos,total_recaudacion,total_caja_chica,total_otros,direccion_sucursal,latitud,longitud,observacion,medido_en,sucursal_numero,sucursal_nombre,telefonos,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
42,SUC-374,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LACROZE FEDERICO 2451,-34.570744082222,-58.445427819192,,2025-09-21 21:21:08.237651+00,317,Colegiales,4771-0032/4771-0034/4771-0166/4771-0212,LACROZE FEDERICO,2451,Colegiales,13,1426,C1426CPJ
43,SUC-408,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LAS HERAS GENERAL 2332,-34.587120640939,-58.39774201089,,2025-09-21 21:21:08.237651+00,178,Palermo,4805-4507/4805-3298/4805-4681/4805-5409,LAS HERAS GENERAL,2332,Recoleta,2,1425,C1425ASN
44,SUC-367,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MONROE 3099,-34.562062115425,-58.466385173961,,2025-09-21 21:21:08.237651+00,307,Belgrano,4543-3899/4543-9203/4544-3602,MONROE,3099,Belgrano,13,1428,C1428BLY
45,SUC-363,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MONTES DE OCA MANUEL 1107,-34.640846283874,-58.374300853379,,2025-09-21 21:21:08.237651+00,32,Barracas,4301-3519/4302-7260/4303-4105 /4303-4106,MONTES DE OCA MANUEL,1107,Barracas,4,1270,C1270AAL
46,SUC-413,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MOREAU DE JUSTO ALICIA 840,-34.608032291489,-58.366540492496,,2025-09-21 21:21:08.237651+00,123,Puerto Madero,4342-2474/4342-2500/4342-4060/4342-6176,MOREAU DE JUSTO ALICIA,840,Puerto Madero,1,1107,C1107AAR
47,SUC-394,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MOREAU DE JUSTO ALICIA 264,-34.601452960798,-58.36730435591,,2025-09-21 21:21:08.237651+00,341,Microcentro,4315-6346/4315-6347/4315-6348,MOREAU DE JUSTO ALICIA,264,Puerto Madero,1,1107,C1107AAF
48,SUC-400,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MORENO 998,-34.61184771879,-58.380311174582,,2025-09-21 21:21:08.237651+00,319,Monserrat,4334-1600/4334-1610/4334-1620/4331-3674,MORENO,998,Monserrat,1,1091,C1091AAT
49,SUC-435,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MOSCONI GENERAL AV 2816,-34.585815219305,-58.501259182778,,2025-09-21 21:21:08.237651+00,309,Villa Pueyrredon,4574-2215/4574-2216/4574-2217/4574-2218,MOSCONI GENERAL AV,2816,Villa Pueyrredon,12,1419,C1419EQU
50,SUC-432,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NAZCA 1922,-34.612215670425,-58.480906769983,,2025-09-21 21:21:08.237651+00,42,Villa Gral Mitre,4581-2893/4582-1806/4582-34.34/4584-2034/4584-5361,NAZCA,1922,Villa Santa Rita,11,1416,C1416ASV
51,SUC-429,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOGOYA 3256,-34.604307971365,-58.494147502933,,2025-09-21 21:21:08.237651+00,105,Villa Del Parque,4502-2615/4502-7581/4504-2358/4501-7789,NOGOYA,3256,Villa Del Parque,11,1417,C1417FNJ
